"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 03 15:48:08 GMT 2021","Tue Aug 03 15:50:01 GMT 2021","112544","test_proj","test_index_local","","","","test_t_case010",""
"failed","Tue Aug 03 15:47:21 GMT 2021","Tue Aug 03 15:48:08 GMT 2021","46696","test_proj","test_index_local","","","","test_t_case009",""
"passed","Tue Aug 03 15:44:55 GMT 2021","Tue Aug 03 15:47:21 GMT 2021","146509","test_proj","test_index_local","","","","test_t_case008",""
"passed","Tue Aug 03 15:40:43 GMT 2021","Tue Aug 03 15:41:18 GMT 2021","34971","test_proj","test_index_local","","","","test_t_case004",""
"passed","Tue Aug 03 15:40:19 GMT 2021","Tue Aug 03 15:40:43 GMT 2021","23796","test_proj","test_index_local","","","","test_t_case003",""
"passed","Tue Aug 03 15:40:08 GMT 2021","Tue Aug 03 15:40:19 GMT 2021","10732","test_proj","test_index_local","","","","test_t_case002",""
"passed","Tue Aug 03 15:39:29 GMT 2021","Tue Aug 03 15:40:08 GMT 2021","38798","test_proj","test_index_local","","","","test_t_case001",""
"passed","Tue Aug 03 15:50:01 GMT 2021","Tue Aug 03 15:50:41 GMT 2021","40578","test_proj","test_index_local","","","","test_t_case011",""
"passed","Tue Aug 03 15:41:18 GMT 2021","Tue Aug 03 15:41:42 GMT 2021","24120","test_proj","test_index_local","","","","test_t_case005",""
"passed","Tue Aug 03 15:44:27 GMT 2021","Tue Aug 03 15:44:55 GMT 2021","27716","test_proj","test_index_local","","","","test_t_case007",""
"passed","Tue Aug 03 15:41:42 GMT 2021","Tue Aug 03 15:44:27 GMT 2021","165494","test_proj","test_index_local","","","","test_t_case006",""
